Title,Job Offer Link,COMPANY,LOCATION,JOB DESCRIPTION / ROLE,REQUIREMENTS,ABOUT THE COMPANY,Other jobs you might be interested in,Salary
Sales and Leasing Consultant,https://www.gulftalent.com/uae/jobs/sales-and-leasing-consultant-360566,GCB Recruitment,"Dubai, UAE","Employment, Full Time. Booking and attending ViewingsBooking and attending ValuationsNegotiating on PropertiesOn target earnings 20,000 40,000 AED monthly TAX FREE50% Commission on properties let or soldStrong internal training dedicated Training Academy and trainer Working VisaWeekly payClose team environment and team-building activities Full support from management A modern and well-designed office","Passion for Property ,Strong negotiating skills and the ability to close for business ,Excellent Customer service ,Driving License ,Driven to succeed  ,Anywhere ,Any (Our clients are very proud of their multi-national team) ,English","Matching the right employee to the right job is crucial for business success. To do so requires experience and time, but unfortunately, busy companies and hard-working job seekers can often struggle with.: GCB Recruitment help bridge that gap, actively searching on your behalf to find and pair the most suitable job seekers with the correct job. As property and financial services industry leaders across the UK and overseas, we know the qualities required to flourish in these sectors.: We use a region and sector-specific approach unique to ourselves, meaning you'll have a single point of contact throughout the process, who understands exactly what you need. In fact, with the largest job and candidate pool in the market.","Explore GCB Recruitment careers,Commercial Property Sales and Leasing Consultant,Chestertons,Residential Real Estate Agent,Sales Executive - Leisure,Real Estate Consultant,Real Estate Broker,Elite & Luxury Real Estate","AED 20,000 to 40,000"
Sales and Leasing Consultant - Mandarin Speaking,https://www.gulftalent.com/uae/jobs/sales-and-leasing-consultant-mandarin-speaking-383414,GCB Recruitment,"Dubai, UAE","Employment Full Time, Are you an experienced Sales professional with the ability to speak Mandarin interested in earning a tax-free salary?, If so, we are currently looking for such an individual to join our clients, a well-established and expanding property company in Dubai., Our clients are happy to consider experienced property professionals or those looking to get into the industry with considerable sales/customer service industry experience., This position is a rare opportunity to join one of the top real estate companies in the UAE where you will be supported by a strong Senior team, including the owner of the business, with commissions paid weekly.  Booking and attending Viewings  Booking and attending Valuations  Negotiating on Properties  On target earnings 20,000  40,000 AED monthly  TAX FREE  50% Commission on properties let or sold  Strong internal training  dedicated Training Academy and trainer   Working Visa  Weekly pay  Close team environment and team-building activities   Full support from management   A modern and well-designed office","Our clients are happy to consider both experienced real estate consultants, as well as, experienced individuals with sales or customer service backgrounds who are looking to get into the real estate industry.  Skills and Personality traits    Passion for Property  Must be able to speak Mandarin  Strong negotiating skills and the ability to close for business  Excellent Customer service  Driving License  Driven to succeed","Matching the right employee to the right job is crucial for business success. To do so requires experience and time, but unfortunately, busy companies and hard-working job seekers can often struggle with.,GCB Recruitment help bridge that gap, actively searching on your behalf to find and pair the most suitable job seekers with the correct job. As property and financial services industry leaders across the UK and overseas, we know the qualities required to flourish in these sectors.,We use a region and sector-specific approach unique to ourselves, meaning you'll have a single point of contact throughout the process, who understands exactly what you need. In fact, with the largest job and candidate pool in the market, we probably already have the right job seeker or role for you.,Explore GCB Recruitment careers","Residential Real Estate Agent,Chestertons,Commercial Property Sales and Leasing Consultant,Real Estate Consultant,Sales and Leasing Consultant,GCB Recruitment,Real Estate Broker,Elite & Luxury Real Estate","AED 20,000 to 40,000"
Sales Manager,https://www.gulftalent.com/uae/jobs/sales-manager-385170,Kinetic Business Solutions,"Dubai, UAE","Employment Full Time .Kinetic has partnered with a leading Medical Device company who are hiring a Sales Manager to be based in Dubai . ,Manage a team of sales executives monitoring their performance and updating the Commercial Director on their activities.  ,Collaborate with the existing sales structure to market and sell a wide range of products and solutions to potential customers.  ,Identify and establish relationships with new clients, understanding their specific needs and providing customized solutions.  ,Maintain and enhance relationships with existing clients, ensuring their satisfaction, and addressing any concerns and inquiries.","Only candidates currently based in the UAE will be considered.  ,Must possess a valid UAE driver's license.  ,BSc in biology, biochemistry, microbiology, or biotechnology.  ,Proven experience in sales, preferably in a similar industry such as Lab Instrumentation, Food/Beverage/Drug testing, or Oil and Gas.  ,Proficiency in sales software, CRM systems, and the Microsoft Office Suite.  ,Willingness to travel locally as well as regionally, as needed.  ,Excellent verbal and written communication skills in English and Arabic.","Kinetic is a Middle East-based company that has been successfully providing a full range of recruitment solutions for leading Pharmaceutical, Agritech, Medical Device, Chemical and Sustainability organizations since 2012.,We provide an executive search service geared to any level of roles within these verticals which is led by industry experts. Our service is driven by innovative, established and proven research teams who customize each individual requirement from our clients.,Explore Kinetic Business Solutions careers","B2B Sales Manager,RTC-1 Employment Services,Dubai,Area Sales Manager,Kinetic Business Solutions,Area Sales Manager - Vascular,Michael Page,UAE,Sales Manager,Unique TAJ HR Consultancy,Muscat,KOTRA",
Salesforce Support Engineer,https://www.gulftalent.com/uae/jobs/salesforce-support-engineer-386881,Ultimate HR Solutions,"Dubai, UAE","Full Time ,As a Salesforce Support Engineer, you’ll work with our team of talented consultants to support Salesforce solutions for our client s across Salesforce platform. ,As a member of our team, you’ll help our users to solve their challenges via expertly designed Salesforce solutions that leverage both out-of-the-box functionality, including workflows and configuration, as well as custom-developed solutions utilizing Apex and the Lightning framework. Being both business-focused and tech-savvy, you’re able to understand the business requirements quickly and advise our clients on the appropriate Salesforce feature set. Keeping current on technology trends is important, so monitoring Salesforce releases and upcoming features is key.","Bachelor’s in Information Systems , Computer Science or equivalent work experience ,4 year(s) of experience developing within the Salesforce Core Cloud ecosystem ,Triage issues and tickets to determine if escalation to Engineering team is necessary for resolution ,Motivated mindset: ,Effectively meet or exceed SLAs, perform patches and roster reviews ,When ticket volume is low, evaluate automation opportunities to enhance existing efficiencies ,Provide support while having some background in development; no development required for current engagement, but review and evaluation of code is necessary ,Documentation maintenance ,Provide on-call support for customer as needed ,Utilize existing customer tools that include integrations among cloud-based and/or customized solutions necessary to resolve tickets ,Any 2 of the below certifications: ,Certified Salesforce Administrator ,Certified Salesforce App Builder ,Salesforce Platform Developer 1 ,Knowledge of QA best practices and how they apply to the Salesforce platform ,Knowledge to manual and automated testing on the Salesforce platform ,Experience drafting testing plans for salesforce deployments","Founded in 2001, Ultimate HR Solutions bears the market reputation of being a complete HR Services provider, precise and pro-active in locating and managing human resources. Our client-friendly process and human capital infrastructure allows us to service ever changing client requirements in an efficient and effective manner. With comprehensive experience servicing world-class clientele and top-caliber candidates across a wide spectrum of industries, we measure our success through our growing list of satisfied clients. UHRS started with humble beginnings as a preferred recruitment partner, and from there branched out into outsourcing/ contract staffing.","Candidates who applied for this job also applied for:,Salesforce Analyst,ManpowerGroup Middle East,Dubai,Desktop Support Engineer,Unified Microsystems,IT Support and Services - Country Lead,Coca-Cola,Qatar,IT Support Specialist,Charterhouse,IT Engineer,A Leading Packaging Services Company In The UAE","AED 12,000 to 14,000"
Short Video Operations Specialist,https://www.gulftalent.com/uae/jobs/short-video-operations-specialist-396530,Metaworld Technology,UAE,"Employment Full Time. The Short Video Operations Specialist is responsible for overseeing the end-to-end operations related to the creation, curation, and distribution of short-form video content. This role involves collaboration with content creators, editing teams, and platform partners to ensure the seamless execution of short video initiatives.,Content Management,Coordinate the production, editing, and delivery of short-form video content, ensuring alignment with content strategy and audience preferences.,Collaborate with content creators and production teams to generate engaging and high-quality short videos.,Organize and maintain a library of short-form video assets, ensuring accessibility for various distribution channels.,Quality Control,Implement quality control measures to ensure all short videos meet established standards for content, branding, and technical specifications.,Conduct regular reviews of short videos for accuracy, relevance, and adherence to brand guidelines.,Distribution and Publishing,Work with platform partners to optimize the distribution and performance of short-form video content.,Manage the scheduling and publishing of short videos on various platforms, ensuring timely delivery and maximum visibility.,Analytics and Reporting,Monitor key performance indicators (KPIs) for short-form video content, analyze data, and generate reports on content performance.,Provide insights to inform content strategy and improvements in engagement and reach.,Collaboration,Collaborate with cross-functional teams, including marketing, social media, and analytics, to align short video initiatives with broader organizational goals.,Communicate with content creators and contributors to provide guidance, feedback, and support.,Emerging Trends Stay informed about industry trends, emerging technologies, and platform updates related to short-form video content.,Propose and implement innovative approaches to enhance the production and distribution of short videos.","Bachelor's degree in Media Studies, Communications, or a related field.,Proven experience in content operations, video production, or a related role.,Familiarity with short-form video platforms and trends.,Strong organizational and project management skills.,Excellent communication and collaboration skills.,Job Specification: Short Video Operations Specialist","METAHOMES, established in 2022 and owned by Metaworld Group which the headquarters locate in Dubai, United Arab Emirates, is a global travel experience and real estate transaction platform with advanced and creative technologies. It’s dedicated to innovate the investment and transactions for the real estate industry by providing the best experience for global travelers and transaction services for our customers all over the world, helping our customers to obtain the largest benefit from real estate investment with creative technologies.,METAHOMES provides products and services including the search online and reservation of homestays, hotels, holiday houses, apartments, etc. Meanwhile, METAHOMES also provides global transaction services in real estate market by helping our customers to search and transact the properties. METAHOMES will use advanced VR, AI, IOT technologies to provide our customers with immersive experience, imitating the real experience during the property tour and provide the full intelligent services when our customers are dealing with the transactions in real estate market that can let you easily find your favorited accommodations or the inspiration for the future reservations.",,"AED 5,000 to 8,000"
Social Media Intern,https://www.gulftalent.com/uae/jobs/social-media-intern-396678,Avyanco Business Consultancy,"Dubai, UAE","Employment Internship. We are seeking two highly motivated and creative Social Media Interns to join our dynamic marketing team. As a Social Media Intern, you will play a crucial role in promoting our brand and engaging our audience through captivating videos and posts that align with our brand guidelines. This is an excellent opportunity to gain hands-on experience in social media marketing and video production.. Responsibilities Vdeo Shoot & Editing Collaborate with the marketing team to conceptualize, plan, and execute engaging video content for our social media platforms. Utilize your video shooting and editing skills to create captivating and high-quality content. ,Post Creation Craft visully appealing and engaging social media posts that align with our brand guidelines. Use creativity to drive brand awareness and connect with our target audience effectively. ,Brand Consistency Ensureall social media content adheres to our brand guidelines, maintaining a cohesive and recognizable brand identity across all platforms. ,Community Engagement Engage with our social media followers, respond to comments, and foster meaningful interactions to enhance brand loyalty and build a strong online community. ,Analytics & Insights Monitor social media analytics to track the performance of content and campaigns. Utilize data to identify trends and make data-driven decisions to improve engagement.","Outstanding skills in video shooting and editing, using software like Adobe Premiere Pro, Final Cut Pro, or other relevant tools.,Proficiency in creating visually appealing and engaging social media content, with a keen eye for design aesthetics.,Solid understanding of various social media platforms, their audiences, and trends.,Strong knowledge of brand guidelines and the ability to adapt creatively while staying within the brand’s visual identity.,Excellent communication skills, both written and verbal.,A passion for social media marketing, staying up-to-date with the latest trends and best practices.,Creativity, innovation, and the ability to think outside the box to develop fresh and exciting content.,Ability to work collaboratively in a fast-paced environment and meet deadlines effectively.,Availability to work ( Monday to Friday 9AM - 6PM)","Avyanco emerged from the ambition of aiding upcoming entrepreneurs and companies to set up their business in the UAE. Offering them complete business set up, accounting, auditing and taxation solutions. Our mission and values are infused with the core principles of productivity, innovation, transparency, trust, respect, and responsibility for one’s actions which embody the collective conscience of the company and its people. We are a hub for business setup in Dubai and UAE.,Explore Avyanco Business Consultancy careers",,
Social Media Marketing Executive,https://www.gulftalent.com/uae/jobs/social-media-marketing-executive-396647,The Eight Estate,"Dubai, UAE","The 8 Estate is looking for a creative and strategic Social Media Manager to elevate our brand's online presence. As a Social Media Manager, you will be responsible for developing and implementing our social media strategy as well as being in front of the camera to increase our online presence and improve our marketing and sales efforts in the real estate sector. ,Develop, implement, and manage our social media strategy, aligning with business goals. ,Collaborate with marketing, sales, and real estate teams to ensure brand consistency. ,Communicate with industry professionals and influencers via social media to create a strong network. ,Manage and oversee social media content planning and scheduling. ,Measure the success of social media campaigns and provide reports on key metrics. ,Stay up-to-date with the latest social media best practices and technologies. ,Use social media marketing tools such as Buffer, Hootsuite, or similar. ,Opportunities for professional development and growth within a leading real estate company. ,Dynamic and innovative work environment.","Proven work experience as a Social Media Manager or similar role.,Excellent knowledge of Facebook, Twitter, LinkedIn, Pinterest, Instagram, Google+, and other social media best practices.,Experience with doing audience and buyer persona research.,Good understanding of social media KPIs and web traffic metrics.,Excellent multitasking skills and team player attitude.,Strong written and verbal communication skills.","The 8 Estate, we are proud to be a new player in the real estate market, offering a boutique experience like no other. We specialize in providing impeccable white-glove service tailored to VIP clients who demand nothing less than the absolute best: Our mission is simple to redefine excellence in the real estate industry by delivering personalized, bespoke services that cater to the unique needs and discerning tastes of our esteemed clientele. As a boutique agency, we prioritize quality over quantity, ensuring that each client receives the utmost attention, care, and exclusivity they deserve: What sets us apart is our unwavering commitment to providing a seamless and extraordinary real estate journey. From the moment our clients engage with us, they can expect a dedicated team of experts who will go above and beyond to deliver exceptional results. We understand that buying or selling a property is more than a transaction - it's an experience, and we strive to make it a truly unforgettable one: Explore The Eight Estate careers",,
Store Manager,https://www.gulftalent.com/uae/jobs/store-manager-391255,Chalhoub Group,"Dubai, UAE","Employment Full Time On behalf of Zimmermann , we are hiring for a Store Manager to lead the first new flagship store in Dubai!,Zimmermann is one of Australia's leading and most respected fashion designer brands. Zimmermann's ready-to-wear and swim and resort collections are sold through Zimmermann boutiques and high-end retailers both in Australia and internationally. We maintain stand-alone retail stores throughout Australia, Europe, UK, USA and China and a successful online business.,Your responsibilities will include driving and maximising sales and striving to provide excellence in client service, inspiring and motivating the team, day-to-day stock management and operations, CRM, visual presentation and creating an elevated and memorable brand experience.,Broad Areas of responsibilities will include: To successfully lead and develop a high performing team that achieves individual and team sales results, builds strong team morale and a positive workplace attitude. ,To consistently lead by example and role model for all team members. ,To execute Zimmermann ""Shopping Experience"" training program,To ensure client satisfaction is achieved by all team members. ,To consistently achieve sales and other brand required KPIs. ,To analyze the store sales and take necessary action to maximize sales opportunities. ,To build solid client relations and generate a returning Client base. ,To ensure that all team members are acquiring and growing the Zimmermann client database through engaging and maintaining professional client relationships ensuring full compliance with local legislation. ,To prepare, manage and execute the Visual Merchandising launches alongside the Assistant Manager ,To ensure that a consistent high standard of Visual Presentation is achieved and reflective of the brand directive. ,What you'll need to succeed ,- The applicant must have previous management experience in fashion (essential), amazing client service skills, a proven ability to inspire, engage and develop team members to exceed KPI results, impeccable attention to detail and exceptional communication skills.",,"The Chalhoub Group is the leading partner for luxury across the Middle East since 1955. As an expert in retail, distribution and marketing services based in Dubai, the group has become a major player in the fashion, beauty and gift sectors regionally.,By blending its Middle East expertise and intimate knowledge of luxury, Chalhoub Group is building brands in the region, by offering service excellence to all its partners and a unique experience to its customers through its passionate teams.,With a growing workforce of more than 9,000 people, implemented in 14 countries, as well as the operating of over 470 retail outlets, the group's success is attributed to its most valued asset of highly skilled and dedicated teams. Professionalism and passion are what fuel the Chalhoub Group's competitive edge in today's market.,By being committed to implementing sustainable practices into their business, the Chalhoub Group has been awarded in 2013 the CSR Label from the Dubai Chamber of Commerce.,Explore Chalhoub Group careers",,
Strategy Consultant - Tech/AI,https://www.gulftalent.com/uae/jobs/strategy-consultant-tech-ai-396520,Michael Page,UAE,"Employment Full Time.,As a Strategy Consultant, you will work closely with the executive leadership to design and implement strategic plans as well as monitor and report on performance at the entity level.,Client Details,This is well funded AI start-up with a strong focus on tech enabled new business launches, acquisitions as well as investments catering to large scale social impact.,Description Build and develop strategic plans tailored to the unique challenges and opportunities within the AI and high-tech business landscape.,Oversee and manage strategic projects within the entity, ensuring successful implementation and delivery.,Conduct comprehensive analyses of the market and business landscape to inform strategic decision-making.,Demonstrate excellent communication skills, particularly in the creation and delivery of impactful presentations using tools such as PowerPoint.,Conduct thorough market research to identify growth opportunities, market trends, and potential areas for business expansion.,Attractive, tax-free salary ,Excellent opportunity to work closely with executive leadership and have a large scale impact.","Bachelor's or Master's degree in Business Administration, Finance, Industrial Engineering, or a related field.3 - 5 years' experience in a global strategy consulting firm or a mix of management consulting and industry experience within the technology or AI sectors.,Must have strong analytical skills, along with excellent verbal and written presentation skills.,Highly motivated and driven, with the ability to influence stakeholders and build long- lasting client relationships.","Michael Page is one of the world's leading professional recruitment consultancies, specializing in the placement of candidates in permanent, contract, temporary and interim positions with clients around the world.,The Group has operations in the UK, Continental Europe, Asia-Pacific and the Americas. In the Middle East we focus on the areas of:,Finance & Accounting,Banking & Financial Services,Procurement ,Property & Construction,Engineering & Supply Chain,Oil & Gas Technical and Engineering ,Sales,Marketing,Technology,Secretarial,Executive Search,Legal",,
Supply Chain Operation Manager,https://www.gulftalent.com/uae/jobs/supply-chain-operation-manager-396699,KNZ Solutions,"Dubai, UAE","Employment Full Time. Assist NetSuite ERP/CRM Admin,Ensure all systems are up to date ,Ensure the team is sending the weekly reports complete and on time. ,Ensure the team is monitoring all projects consumed hours and notifying sales, PM and cc leadership when 50% of planned hours is consumed. ,Manage UAE resources schedule/working hours ,Collaborate with PMs to understand coverage needs ,Aim for 40+ billable hours a week for each engineer ,Manage KNZ goal of quoting clients withing 48hrs from the time they request a quote. ,Assist AR/AP team and ensure all systems are reconciled within the 1st 10days of each month ,Invoicing & Submit/reconcile expense reports ,Manage all aspects of human resources such as payroll, insurance, visa, PRO, personnel issues and maintain related confidential files ,Assist with annual review for all UAE resources,Manage OEM relationships including partner level and available training,Provide Monthly and Quarterly Reports to KNZ leadership ,UAE Revenue, UAE Operations cost and UAE resource Utilization ,CRM Pipeline and projected revenue. All projects in ERP must have POP ,Escalation Point of Contact for any UAE related issues ,Plans goals/objectives for office operations and identifies the resources (staff, equipment, funds) required to attain the end results. ,Monitors UAE office procedures and resolves problems through collaboration with pertinent ,Assist with US operations ,Assist with KNZ ISO 9001 certification ,Assist with preparing KNZ to pursue ISO 27001 certification and CMMC certification ,Write and distribute email, correspondence memos, letters, faxes and forms ,Resolves operational problems related to customer service, accounting procedures and others. ,Coordinates and oversees the completion of special projects as needed. ,Types correspondence and various documentation in proper format and proofreads/distributes as assigned. ,Performs other related duties as assigned","NetSuite experience ,Supply chain experience ,Required experience in Office Administration and/or operations coordination,Knowledge of office management systems and procedures,Excellent time management skills and the ability to prioritize work,Attention to detail and problem-solving skills,Excellent written and verbal communication skills,Strong organizational skills with the ability to multi-task,Self-driving and willing to wear multiple hats","KNZ is a global IT consulting company. KNZ strength is built on the knowledge, extensive hands on experience, capabilities and competency level of its team. In addition, to its project delivery approach and project management discipline, our consultants are leading business and technical advisors, each possessing particular knowledge and experience, which adds value to the work provided to our clients.,Our client-focused strategy works through both the planning and execution phases with our clients’ core business objectives. KNZ specializes in solving complex IT challenges using our industry research, service-offering expertise and technology potential, we identify trends and develop solutions to help our clients.,We work closely with our clients to identify, then quantify the organizational high-level goals, and create a road map on how to get there. We cover all functional levels from long-term strategic planning to day-to-day operations.,Explore KNZ Solutions careers",,
Talent Analytics Senior Specialist for an International Consulting Firm,https://www.gulftalent.com/uae/jobs/talent-analytics-senior-specialist-for-an-international-consulting-firm-396675,RecruitMe FZE,"Dubai, UAE","Employment Full Time. Talent Analytics Senior Specialist for International Consulting Firm, Dubai,The role is responsible for supporting the talent analytics agenda including implementing data- driven solutions, developing use cases and uncovering insights. The role is also responsible for supporting the delivery of talent analytics projects and its related operations.,Responsibilities:,•	Contribute to the development of a library of data-driven talent related use cases (incl. conducting research, documenting findings, preparing presentations),•	Support in the development and maintenance of a comprehensive set of key performance indicators (KPIs) in line with the identified use cases,•	Collaborate closely with relevant departments to implement cross functional data driven use cases.,•	Collect, clean, and structure data from various sources.,•	Continuously monitor and ensure the quality, accuracy and integrity of the data, identifying and resolving data quality issues,•	Analyze the data by applying statistical and data analysis techniques to uncover patterns, trends, and correlations and to achieve the use case objectives.,•	Develop predictive models and algorithms to forecast talent-related trends.,•	Design and build visually engaging and informative performance management dashboards for business stakeholders, facilitating data-driven decision-making.,•	Generate regular and ad-hoc reports to communicate data findings to relevant stakeholders.,•	Collaborate with the digital department to integrate systems and technologies, that support interdepartmental use cases and ensure seamless data flow,•	Support the Talent Analytics Senior Manager in delivering talent analytics projects, in close coordination with the Digital department.,•	Coordinate and liaise with product developers and relevant project managers (e.g., Emtech team, external developers),•	Support in testing newly developed tools and related add-ons","Skills Bachelor’s Degree, Masters is a plus,With 2-4 years of experience in people analytics, business analytics or data analytics (experience in consulting and/or talent development is a plus),Strong oral and written communication skills as well as presentation skills,Strong analytical and problem-solving skills with a keen eye for detail,Ability to crunch and interpret complex data and draw actionable insights and recommendations.,Proficiency in data analytics tools and programming languages like Python, R, SQL, and data visualization tools such as Tableau, Power BI, or others,Service-oriented attitude, proactive thinker, information seeker, team player,Ability to work within an unstructured fast paced environment.,Advanced knowledge of Excel and PowerPoint,Knowledge of HR processes is a plus","RecruitME are a specialized recruitment consultancy supplying top tier business support staff to Dubais leading multinational organizations. We carefully source, screen and select only the very best candidates to assist our clients in making easier recruitment decisions faster.,Differentiating ourselves from standard recruitment agencies our consultants have been carefully chosen for their backgrounds in business support for leading multinational organizations. Having been both the client and the candidate previously, we have an insiders understanding of the recruitment process and our clients needs.Specializing in business support positions we can assist in introducing a small selection of experienced administration, finance and human resource candidates with the relevant experience to benefit your business. Our careful screening process ensures that we have met with and can give a concise overview of each candidates skills and current situation before you meet them.,We pride ourselves on sending our clients only the very best available candidates in the market to ensure a simplified, hassle free and timely recruitment experience for all involved.,Explore RecruitMe FZE careers",,
